,order_0-0,order_0-1,order_0-2,order_0-3,order_0-4,order_0-5,order_0-6,order_0-7,order_0-8,order_0-9,order_0-10,order_0-11,order_1-0,order_1-1,order_1-2,order_1-3,order_1-4,order_1-5,order_1-6,order_1-7,order_1-8,order_1-9,order_1-10,order_1-11,order_2-0,order_2-1,order_2-2,order_2-3,order_2-4,order_2-5,order_2-6,order_2-7,order_2-8,order_2-9,order_2-10,order_2-11,order_3-0,order_3-1,order_3-2,order_3-3,order_3-4,order_3-5,order_3-6,order_3-7,order_3-8,order_3-9,order_3-10,order_3-11,order_4-0,order_4-1,order_4-2,order_4-3,order_4-4,order_4-5,order_4-6,order_4-7,order_4-8,order_4-9,order_4-10,order_4-11,order_5-0,order_5-1,order_5-2,order_5-3,order_5-4,order_5-5,order_5-6,order_5-7,order_5-8,order_5-9,order_5-10,order_5-11,order_6-0,order_6-1,order_6-2,order_6-3,order_6-4,order_6-5,order_6-6,order_6-7,order_6-8,order_6-9,order_6-10,order_6-11,order_7-0,order_7-1,order_7-2,order_7-3,order_7-4,order_7-5,order_7-6,order_7-7,order_7-8,order_7-9,order_7-10,order_7-11,order_8-0,order_8-1,order_8-2,order_8-3,order_8-4,order_8-5,order_8-6,order_8-7,order_8-8,order_8-9,order_8-10,order_8-11,order_9-0,order_9-1,order_9-2,order_9-3,order_9-4,order_9-5,order_9-6,order_9-7,order_9-8,order_9-9,order_9-10,order_9-11,order_10-0,order_10-1,order_10-2,order_10-3,order_10-4,order_10-5,order_10-6,order_10-7,order_10-8,order_10-9,order_10-10,order_10-11,order_11-0,order_11-1,order_11-2,order_11-3,order_11-4,order_11-5,order_11-6,order_11-7,order_11-8,order_11-9,order_11-10,order_11-11,order_12-0,order_12-1,order_12-2,order_12-3,order_12-4,order_12-5,order_12-6,order_12-7,order_12-8,order_12-9,order_12-10,order_12-11,order_13-0,order_13-1,order_13-2,order_13-3,order_13-4,order_13-5,order_13-6,order_13-7,order_13-8,order_13-9,order_13-10,order_13-11,order_14-0,order_14-1,order_14-2,order_14-3,order_14-4,order_14-5,order_14-6,order_14-7,order_14-8,order_14-9,order_14-10,order_14-11,order_15-0,order_15-1,order_15-2,order_15-3,order_15-4,order_15-5,order_15-6,order_15-7,order_15-8,order_15-9,order_15-10,order_15-11,order_16-0,order_16-1,order_16-2,order_16-3,order_16-4,order_16-5,order_16-6,order_16-7,order_16-8,order_16-9,order_16-10,order_16-11
radius,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,1,1,1,1,1,1,1,1,1,1
theta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,225,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,315,315,315,315,315,315,315,315,315,315,315,315,315,315,315,315,315,315,315,315,315,315,315,315
valence,0.0238095,-0.015872999999999998,0.0,0.038819900000000004,-0.00862664,0.00862664,0.0172533,0.0038279000000000004,-0.047619,0.0,-0.0038279000000000004,-0.00793651,0.5,0.547619,0.522648,0.547619,0.547619,0.539683,0.539683,0.523809,0.5079359999999999,0.46031700000000003,0.531746,0.523809,0.9630270000000001,0.953349,0.97619,0.97619,0.972706,0.953349,0.992064,0.953349,0.967867,0.967867,0.9823850000000001,0.953349,0.30952399999999997,0.359739,0.323499,0.38714699999999996,0.36295,0.367789,0.401665,0.350529,0.338753,0.396825,0.358655,0.375259,0.667557,0.666667,0.697171,0.6719579999999999,0.711382,0.667828,0.712206,0.662989,0.692025,0.692025,0.666667,0.697171,0.0,-0.0333778,0.00793651,0.026338,0.015872999999999998,0.015872999999999998,-0.029036000000000003,0.0,-0.04839330000000001,0.00793651,-0.039682499999999996,-0.00783208,-0.0387147,-0.033875300000000004,-0.029036000000000003,-0.043554,-0.0241967,-0.033875300000000004,0.032719200000000004,0.00793651,-0.0241967,-0.014518000000000001,-0.0241967,-0.033875300000000004,-0.30952399999999997,-0.31745999999999996,-0.310788,-0.393505,-0.348432,-0.324235,-0.37301599999999996,-0.348432,-0.327207,-0.34239400000000003,-0.363464,-0.401665,-0.674603,-0.714286,-0.663717,-0.658149,-0.662989,-0.658449,-0.65873,-0.658449,-0.666667,-0.6669689999999999,-0.673559,-0.667828,-0.5420050000000001,-0.46457600000000004,-0.5420050000000001,-0.5420050000000001,-0.546845,-0.45489700000000005,-0.523809,-0.490788,-0.531746,-0.49261099999999997,-0.547619,-0.457269,-0.967867,-0.9630270000000001,-0.972706,-0.967867,-0.961442,-0.972706,-0.9581879999999999,-0.953349,-0.9581879999999999,-0.9554799999999999,-0.9630270000000001,-0.991425,-0.349206,-0.34126999999999996,-0.37301599999999996,-0.31745999999999996,-0.396825,-0.388889,-0.31455700000000003,-0.388889,-0.35739499999999996,-0.38279,-0.365079,-0.325397,-0.677507,-0.662989,-0.662989,-0.667617,-0.667617,-0.677507,-0.667617,-0.667617,-0.695322,-0.677507,-0.677507,-0.667617,-0.00864229,-0.0387147,-0.015872999999999998,0.029036000000000003,0.043554,-0.0285922,0.0388903,0.00807102,-0.033875300000000004,0.0410509,0.017284599999999997,0.0,-0.0155958,-0.00862664,-0.015872999999999998,-0.00793651,0.0194452,0.00661376,0.0410509,0.0,0.014518000000000001,0.014518000000000001,-0.00793651,0.0370865,0.374298,0.353271,0.37957199999999996,0.382307,0.358005,0.38819899999999996,0.36295,0.383885,0.37957199999999996,0.349379,0.382307,0.396825,0.68433,0.692025,0.711382,0.701703,0.692025,0.738095,0.696864,0.658149,0.65873,0.690476,0.696864,0.677507
arousal,-0.015872999999999998,0.00793651,0.015872999999999998,0.0,0.0,0.00862664,-0.01294,-0.0038279000000000004,-0.047619,-0.0238095,-0.00765579,0.00793651,0.0,0.00793651,0.033875300000000004,0.0,-0.00793651,0.0,0.00793651,0.00793651,0.00793651,0.00793651,0.0238095,0.0,0.0387147,-0.033875300000000004,-0.015872999999999998,-0.0238095,0.0387147,0.0387147,0.033875300000000004,-0.04839330000000001,0.014518000000000001,0.0387147,0.0241967,0.0387147,0.365079,0.370865,0.33212600000000003,0.333914,0.36295,0.324235,0.309717,0.350529,0.329075,0.380952,0.319765,0.306246,0.726895,0.722222,0.674519,0.7248680000000001,0.682346,0.667828,0.696611,0.711382,0.667828,0.667828,0.6825399999999999,0.674519,0.5,0.508085,0.468254,0.505689,0.539683,0.48412700000000003,0.483933,0.5079359999999999,0.49845100000000003,0.5,0.547619,0.5325810000000001,0.972706,0.972706,0.987224,0.972706,0.9823850000000001,0.972706,0.9715090000000001,0.9920629999999999,0.972706,0.9775450000000001,0.9823850000000001,0.9823850000000001,0.396825,0.396825,0.32659099999999996,0.313808,0.30487800000000004,0.401665,0.37301599999999996,0.333914,0.348092,0.358196,0.321323,0.30487800000000004,0.722222,0.6825399999999999,0.658449,0.667828,0.672667,0.663717,0.7460319999999999,0.663717,0.6825399999999999,0.714789,0.673559,0.672667,0.00483933,0.029036000000000003,0.04839330000000001,0.00483933,0.04839330000000001,0.0,0.0,0.017618,0.0,0.0367298,-0.00793651,0.0236518,-0.043554,-0.043554,-0.0241967,-0.04839330000000001,-0.045303500000000003,-0.0387147,-0.033875300000000004,-0.029036000000000003,-0.029036000000000003,-0.0387357,-0.043554,-0.015311600000000002,-0.37301599999999996,-0.333333,-0.349206,-0.30952399999999997,-0.37301599999999996,-0.396825,-0.319396,-0.396825,-0.35991100000000004,-0.348339,-0.357143,-0.388889,-0.721061,-0.740418,-0.740418,-0.663296,-0.663296,-0.721061,-0.663296,-0.663296,-0.705858,-0.721061,-0.721061,-0.663296,-0.466684,-0.49845100000000003,-0.547619,-0.546845,-0.527487,-0.48086899999999994,-0.544465,-0.46004799999999996,-0.46457600000000004,-0.525019,-0.525019,-0.482804,-0.982533,-0.9748100000000001,-0.9920629999999999,-0.960317,-0.961455,-0.98545,-0.993864,-0.972706,-0.9775450000000001,-0.9775450000000001,-0.9920629999999999,-0.971666,-0.39509299999999997,-0.396825,-0.31055900000000003,-0.38714699999999996,-0.327812,-0.33212600000000003,-0.358111,-0.349379,-0.319186,-0.31055900000000003,-0.333914,-0.314872,-0.692077,-0.667828,-0.687185,-0.662989,-0.672667,-0.666667,-0.672667,-0.735579,-0.690476,-0.65873,-0.658149,-0.672667
sliderThetaSub,27.0,25.2,28.8,25.2,27.0,27.0,21.6,23.4,21.6,25.2,27.0,27.0,27.0,30.6,28.8,37.8,27.0,28.8,32.4,30.6,21.6,25.2,45.0,19.8,45.0,32.4,27.0,45.0,32.4,39.6,37.8,30.6,9.0,28.8,45.0,28.8,34.2,34.2,32.4,37.8,37.8,32.4,23.4,32.4,12.6,25.2,36.0,34.2,39.6,28.8,30.6,34.2,43.2,27.0,30.6,32.4,12.6,30.6,32.4,34.2,21.6,23.4,23.4,27.0,23.4,23.4,21.6,28.8,19.8,27.0,25.2,18.0,28.8,27.0,32.4,28.8,37.8,30.6,21.6,32.4,16.2,27.0,14.4,9.0,18.0,21.6,21.6,16.2,10.8,19.8,19.8,18.0,32.4,18.0,10.8,14.4,10.8,18.0,23.4,37.8,10.8,21.6,16.2,16.2,43.2,18.0,32.4,16.2,19.8,21.6,16.2,16.2,16.2,23.4,16.2,10.8,9.0,19.8,16.2,27.0,27.0,12.6,18.0,21.6,9.0,21.6,9.0,9.0,19.8,27.0,9.0,30.6,18.0,14.4,19.8,36.0,34.2,25.2,16.2,16.2,16.2,21.6,21.6,27.0,10.8,16.2,19.8,18.0,36.0,18.0,16.2,12.6,21.6,21.6,18.0,41.4,36.0,25.2,30.6,36.0,27.0,27.0,25.2,25.2,23.4,27.0,27.0,32.4,25.2,28.8,30.6,41.4,27.0,21.6,28.8,23.4,10.8,27.0,25.2,41.4,32.4,32.4,28.8,37.8,32.4,27.0,27.0,28.8,12.6,27.0,34.2,39.6,36.0,32.4,27.0,37.8,34.2,32.4,30.6,34.2,10.8,27.0,25.2,34.2
sliderVertexNum,8,8,8,17,14,10,8,12,11,9,8,15,8,11,11,8,12,10,12,13,19,9,8,13,28,8,11,8,8,9,15,18,15,11,8,14,16,11,13,8,14,12,13,15,22,9,14,14,23,12,12,8,24,10,15,14,24,9,15,14,11,10,9,17,22,10,8,15,11,9,15,14,17,10,19,17,21,11,8,14,25,9,22,28,13,13,16,16,23,16,10,11,8,12,11,12,19,16,21,20,18,16,14,16,12,17,20,14,14,20,11,12,18,18,13,15,17,11,19,10,18,16,22,21,25,19,21,15,9,11,28,9,11,13,19,19,8,14,11,14,10,11,21,11,13,20,17,21,14,18,14,13,12,11,18,8,8,10,9,17,8,10,8,14,8,9,8,8,8,12,11,8,8,9,8,10,8,11,8,8,14,11,13,12,8,10,12,13,16,9,9,8,18,11,9,10,8,9,13,17,18,9,8,8
sliderLengthCoefficient,0.0,0.6,0.8,0.9,0.5,0.3,0.2,1.1,0.7,0.7,0.0,0.5,0.8,0.6,0.8,0.3,1.8,0.5,1.3,1.5,1.5,0.8,0.5,0.6,1.1,0.7,0.7,0.0,0.4,0.7,1.5,1.1,1.3,1.2,1.5,1.4,1.6,0.8,0.7,0.5,1.5,0.4,0.8,1.3,2.0,0.7,0.7,0.9,1.4,0.7,0.5,1.1,1.9,0.4,1.2,1.1,1.7,1.1,1.2,1.4,1.1,0.8,0.3,0.9,1.5,0.5,0.1,0.9,1.6,0.6,0.1,1.4,0.3,0.7,0.4,1.0,1.9,1.5,0.2,1.1,2.0,1.2,0.3,1.6,0.7,1.5,1.2,1.3,1.7,1.0,1.1,1.4,0.4,0.6,1.3,1.4,1.1,1.4,1.3,1.0,1.3,1.0,1.3,1.4,0.2,1.3,1.3,1.6,1.2,1.2,1.0,1.0,1.3,1.0,1.1,1.2,1.2,1.2,1.5,1.5,1.0,1.5,1.6,1.4,1.4,1.7,1.8,1.2,0.9,1.2,1.4,1.4,0.6,0.7,1.4,1.2,1.4,1.4,1.0,1.5,0.4,0.8,0.5,1.4,0.4,1.3,1.3,1.0,0.4,1.0,1.1,1.1,0.7,1.2,1.2,1.0,0.2,1.0,0.4,0.8,0.2,0.5,0.2,1.0,0.4,0.2,0.0,0.7,0.0,0.3,0.0,0.3,0.0,0.4,0.1,0.9,0.0,0.0,0.0,0.5,1.4,0.5,0.3,0.8,0.5,0.7,0.6,1.3,1.1,0.7,0.6,0.5,0.2,0.7,0.5,0.6,0.1,0.4,1.2,0.6,0.7,1.2,1.8,1.3
sliderAmplitude,0.4,0.5,0.4,0.45,0.4,0.35,0.35,0.35,0.15,0.2,0.05,0.3,0.25,0.6,0.35,0.2,0.15,0.6,0.35,0.3,0.45,0.3,0.35,0.25,0.5,0.55,0.35,0.6,0.3,0.35,0.3,0.35,0.2,0.25,0.05,0.25,0.75,0.65,0.65,0.65,0.5,0.4,0.45,0.4,0.6,0.35,0.35,0.6,0.75,0.7,0.6,0.6,0.8,0.55,0.55,0.45,0.6,0.6,0.75,0.6,0.5,0.5,0.7,0.55,0.65,0.5,0.45,0.5,0.25,0.35,0.7,0.65,0.6,0.7,0.8,0.75,0.95,0.35,0.65,0.4,0.7,0.6,0.9,0.75,0.35,0.6,0.6,0.25,0.5,0.35,0.35,0.6,0.35,0.35,0.35,0.55,0.7,0.55,0.65,0.6,0.5,0.4,0.55,0.55,0.4,0.55,0.2,0.75,0.3,0.4,0.3,0.5,0.25,0.15,0.35,0.1,0.2,0.2,0.35,0.4,0.45,0.7,0.35,0.35,0.45,0.3,0.35,0.25,0.45,0.3,0.4,0.3,0.25,0.4,0.4,0.25,0.15,0.25,0.35,0.3,0.2,0.25,0.55,0.5,0.25,0.7,0.25,0.1,0.1,0.3,0.3,0.25,0.55,0.15,0.05,0.15,0.15,0.35,0.35,0.35,0.1,0.3,0.35,0.25,0.25,0.15,0.9,0.15,0.05,0.4,0.15,0.05,0.05,0.1,0.3,0.25,0.15,0.0,1.0,0.1,0.75,0.5,0.55,0.3,0.2,0.15,0.4,0.25,0.8,0.25,0.2,0.25,0.15,0.3,0.5,0.7,0.25,0.5,0.15,0.25,0.65,0.1,0.05,0.35
sliderThetaBeat,5.0,3.5,1.5,1.0,3.5,2.5,3.5,3.5,4.5,2.5,1.0,3.5,4.5,4.5,3.0,4.0,3.5,3.0,3.5,4.0,5.0,3.0,6.0,4.0,5.0,4.5,5.0,5.0,4.5,4.0,3.5,3.5,5.5,2.5,8.5,8.5,6.5,5.0,6.5,6.5,6.5,5.0,4.0,4.5,6.5,4.0,4.5,5.0,7.0,6.5,6.5,7.0,5.5,4.0,6.0,6.5,7.5,4.0,6.5,5.0,7.5,5.5,7.0,6.5,5.0,3.5,5.0,5.0,8.5,4.5,7.5,6.5,7.5,7.5,8.0,8.0,7.5,3.0,7.5,4.5,9.0,7.0,10.0,10.0,7.5,6.5,6.0,7.0,5.5,4.5,5.5,4.5,5.5,4.0,7.0,4.5,9.0,8.0,7.0,5.5,8.0,5.5,5.0,4.5,2.5,6.0,8.5,7.5,4.5,4.0,3.0,5.0,4.0,3.0,3.5,4.0,3.0,2.5,3.5,4.5,4.0,4.0,3.5,4.0,5.5,3.5,3.5,4.0,3.5,3.0,4.0,4.0,4.0,3.5,3.5,4.0,2.5,2.0,2.0,3.0,3.0,2.5,1.5,2.5,1.5,2.5,3.0,4.5,2.5,2.5,3.0,3.0,2.0,1.5,1.5,3.5,1.5,2.5,3.5,3.5,2.5,3.5,2.0,2.5,2.5,2.5,1.0,3.5,0.5,2.0,1.5,1.5,1.0,1.0,0.5,2.5,0.5,0.0,0.5,2.0,1.5,3.5,5.0,3.0,3.5,3.5,2.0,2.5,1.5,2.5,5.0,6.0,2.5,3.0,5.5,2.0,2.0,1.5,1.5,2.5,2.0,2.0,3.0,2.0
sliderHue,180,260,180,220,130,80,70,140,20,0,60,200,300,20,300,310,330,340,20,0,190,0,50,20,20,20,20,330,310,130,20,150,0,0,60,320,320,50,300,360,330,100,10,0,300,0,80,340,360,30,300,0,360,30,20,0,300,0,50,30,310,50,0,360,0,320,160,360,20,0,0,20,310,0,170,360,0,70,50,0,60,300,0,0,290,80,110,260,340,210,200,300,260,320,360,260,60,0,220,250,0,340,240,320,100,310,360,30,0,190,60,250,260,40,210,360,210,250,210,330,360,210,90,220,260,260,290,0,260,280,230,50,120,200,200,260,220,240,190,250,230,240,220,230,0,240,90,270,210,210,230,250,240,230,230,290,100,180,320,310,110,180,90,0,220,320,230,210,140,300,250,300,120,80,150,20,200,180,230,200,290,60,320,330,350,50,10,0,130,10,50,140,290,200,320,340,60,330,10,0,280,0,180,170
