,order_0,order_1,order_2,order_3,order_4,order_5,order_6,order_7,order_8,order_9,order_10,order_11,order_12,order_13,order_14,order_15,order_16
radius,0.0,0.5,1.0,0.5,1.0,0.5,1.0,0.5,1.0,0.5,1.0,0.5,1.0,0.5,1.0,0.5,1.0
theta,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.42857142857142855,0.42857142857142855,0.5714285714285714,0.5714285714285714,0.7142857142857143,0.7142857142857143,0.8571428571428571,0.8571428571428571,1.0,1.0
valence,0.4942422572605793,0.788282675216137,1.0,0.6902434595298625,0.8504040960646553,0.4851079328899965,0.48484832830300517,0.3368686520808025,0.12979759713125189,0.2601008361615883,0.0,0.32444415918379266,0.15656530868681298,0.48232304098986833,0.4980235402655846,0.6868683389898432,0.8636363636363635
arousal,0.5046153715810294,0.5046153715810294,0.4831460691465436,0.6909699329812952,0.8713828281770215,0.7614289176571593,1.0,0.7042997336093774,0.8510071290813529,0.5154494237788034,0.47817630253101906,0.329382146282752,0.12035433855228915,0.24459824720310386,0.0,0.29678061695000196,0.15762745980007353
sliderThetaSub,0.5833333333333333,0.8333333333333333,0.9166666666666665,1.0,0.7500000000000001,0.49999999999999994,0.6666666666666666,0.41666666666666674,0.25,0.41666666666666674,0.0,0.08333333333333336,0.16666666666666663,0.5833333333333333,0.7500000000000001,0.9166666666666665,0.9166666666666665
sliderVertexNum,0.0,0.25,0.0,0.25,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.4166666666666667,0.6666666666666666,1.0,0.6666666666666666,0.4166666666666667,1.0,0.16666666666666666,0.3333333333333333,0.25,0.25
sliderLengthCoefficient,0.25,0.25,0.3333333333333333,0.4166666666666667,0.3333333333333333,0.4166666666666667,0.3333333333333333,1.0,0.9166666666666666,0.75,1.0,0.3333333333333333,0.8333333333333334,0.5833333333333334,0.0,0.16666666666666669,0.3333333333333333
sliderAmplitude,0.5000000000000001,0.75,0.6250000000000002,0.8750000000000001,1.0,0.5000000000000001,1.0,0.75,0.6250000000000002,0.2500000000000001,1.0,0.2500000000000001,1.0,0.12499999999999999,0.2500000000000001,0.5000000000000001,0.0
sliderThetaBeat,0.25,0.4166666666666667,0.4166666666666667,0.5,0.75,0.5833333333333334,0.9166666666666666,0.75,1.0,0.3333333333333333,0.3333333333333333,0.25,0.08333333333333333,0.08333333333333333,0.0,0.25,0.16666666666666666
sliderHue,0.8666666666666667,0.06666666666666667,0.06666666666666667,0.16666666666666666,0.1,0.16666666666666666,0.0,0.26666666666666666,0.0,0.6333333333333333,0.7,0.6666666666666666,0.8,0.6,1.0,0.2,0.6666666666666666
